London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.335,0.304,0.944,0.28,0.249,0.753,2.38,0.263,17.7,0.074
0.281,0.238,0.879,0.278,0.246,0.807,2.26,0.253,16.2,0.074
0.271,0.22,0.896,0.271,0.244,0.757,2.15,0.243,15,0.074
0.278,0.22,0.866,0.249,0.241,0.692,2.06,0.239,14.2,0.07
0.248,0.181,0.861,0.251,0.26,0.666,2.06,0.238,13.9,0.164
0.253,0.221,0.864,0.254,0.254,0.743,2.02,0.242,13.2,0.118
0.255,0.228,0.882,0.275,0.26,1.87,1.98,0.25,12.4,0.102
0.863,0.188,3.94,0.277,0.248,1.76,1.97,0.244,12.1,0.09
0.297,0.201,1.13,0.254,0.254,1.28,1.99,0.239,11.7,0.096
0.246,0.339,0.928,2.83,0.269,1.33,1.94,0.576,11.2,0.281
0.24,0.726,0.879,8.22,0.296,0.978,1.89,0.595,10.9,0.24
0.224,0.267,0.846,1.18,0.26,0.677,2,0.348,12.5,0.135
0.226,0.251,0.872,0.595,0.252,0.647,2.17,0.294,11.7,0.127
0.319,0.193,1.34,0.411,0.25,0.869,2.01,0.272,11.3,0.258
0.433,0.307,1.36,0.412,0.288,1.23,2.6,0.284,17.3,0.706
0.306,0.323,1.28,0.68,0.328,1.41,12.7,0.294,30.9,0.595
0.224,0.245,0.924,0.599,0.278,0.765,6.95,0.308,20.5,0.261
0.228,0.213,0.91,0.379,0.267,0.706,4.45,0.27,15.7,0.176
0.277,0.232,1.16,0.383,0.279,0.888,3.55,0.266,14.2,0.29
0.244,0.179,0.961,0.327,0.276,0.569,3.11,0.241,13.2,0.164
0.21,0.166,0.899,0.275,0.257,0.308,2.9,0.227,12.3,0.146
0.2,0.188,0.905,0.247,0.25,0.303,2.79,0.219,11.5,0.134
0.199,0.18,0.931,0.238,0.245,0.559,2.64,0.208,10.9,0.135
0.2,0.242,0.917,0.228,0.24,0.689,2.54,0.199,10.3,0.133
0.197,0.177,0.882,0.239,0.234,0.567,2.5,0.193,9.92,0.126
0.199,0.171,0.916,0.21,0.229,0.434,2.45,0.19,9.36,0.124
0.2,0.129,0.93,0.199,0.225,0.412,2.4,0.187,9,0.125
0.204,0.111,0.92,0.186,0.225,0.357,2.39,0.183,8.83,0.121
0.194,0.155,0.916,0.184,0.226,0.367,2.46,0.186,8.64,0.119
0.216,0.166,0.929,0.19,0.23,0.453,2.52,0.188,8.55,0.125
0.219,0.217,0.922,0.192,0.228,0.431,2.64,0.19,8.58,0.127
0.239,0.158,0.928,0.194,0.22,0.453,2.75,0.189,8.56,0.124
