London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.314,0.688,1.2,1.47,0.286,0.845,6.82,0.607,29.7,0.162
0.301,0.625,1.21,1.41,0.289,0.823,6.21,0.569,26.7,0.165
0.292,0.51,1.2,1.34,0.288,0.782,5.78,0.544,24.5,0.148
0.284,0.559,1.19,1.27,0.287,0.764,5.5,0.525,22.6,0.143
0.272,0.536,1.18,1.21,0.275,0.737,5.08,0.51,21,0.138
0.267,0.514,1.19,1.15,0.278,0.722,4.72,0.482,19.7,0.136
0.266,0.506,1.19,1.11,0.279,0.736,4.43,0.471,18.7,0.136
0.268,0.5,1.26,1.11,0.278,0.727,4.32,0.47,17.8,0.137
0.29,0.48,1.41,1.06,0.276,0.703,4.22,0.46,16.9,0.129
0.254,0.461,1.18,1.01,0.266,0.695,3.96,0.467,16.2,0.122
0.247,0.441,1.17,0.97,0.264,0.702,3.67,0.443,15.2,0.12
0.246,0.431,1.19,0.947,0.261,0.697,3.48,0.435,14.5,0.119
0.249,0.422,1.18,0.936,0.26,0.696,3.39,0.431,14,0.12
0.244,0.41,1.21,0.904,0.258,0.784,3.28,0.425,13.5,0.118
0.393,0.408,1.54,0.901,0.261,0.897,3.19,0.423,13.3,0.137
0.251,0.399,1.17,0.892,0.256,0.666,3.14,0.418,13,0.116
0.252,0.388,1.16,0.874,0.253,0.681,3,0.415,12.5,0.112
0.256,0.38,1.05,0.863,0.255,0.686,2.97,0.416,12.1,0.112
0.391,0.404,1.87,0.859,0.266,1.12,2.85,0.418,11.9,0.229
0.381,0.397,1.77,0.861,0.272,0.929,2.83,0.418,11.6,0.697
0.314,0.389,1.22,0.879,0.303,0.791,2.75,0.599,11.5,1.24
0.253,1.9,1.12,1.41,0.373,0.65,2.66,1.66,11.1,1.02
0.243,1.69,1.12,1.07,0.301,0.625,2.57,0.57,10.6,0.294
0.24,0.755,1.15,0.877,0.289,0.634,2.49,0.461,10.3,0.195
0.243,0.604,1.16,0.835,0.286,0.81,2.51,0.43,10.2,0.17
0.247,0.528,1.17,0.825,0.277,0.809,3.62,0.413,10.8,0.153
0.228,0.475,1.11,0.792,0.267,0.64,3.37,0.394,10.1,0.14
0.219,0.497,1.08,0.777,0.264,0.612,2.84,0.379,9.62,0.143
0.218,0.443,1.09,0.785,0.263,0.614,2.59,0.377,9.51,0.144
0.221,0.409,1.11,0.772,0.258,0.6,2.5,0.367,9.63,0.127
0.222,0.389,1.1,0.749,0.256,0.652,2.4,0.359,9.43,0.119
0.212,0.372,1.05,0.731,0.253,0.564,2.3,0.356,9.17,0.144
0.21,0.355,1.05,0.724,0.253,0.565,2.23,0.353,9.04,0.127
0.211,0.347,1.09,0.615,0.257,0.613,2.2,0.356,8.99,0.121
0.212,0.339,0.995,0.593,0.239,0.558,2.18,0.353,8.86,0.115
0.211,0.342,1.01,0.741,0.26,0.564,2.14,0.353,8.74,1.06
0.199,0.339,1,0.827,0.247,0.552,2.14,0.353,8.59,0.186
0.191,0.32,0.993,0.651,0.242,0.539,2.11,0.35,8.35,0.136
0.206,0.31,0.99,0.616,0.24,0.568,2,0.347,8.23,0.14
0.202,0.304,0.981,0.597,0.239,0.58,1.95,0.342,8.21,0.121
0.206,0.297,1.01,0.6,0.239,0.566,1.91,0.34,8.12,0.109
0.196,0.291,1.01,0.556,0.233,0.573,1.84,0.334,7.9,0.105
0.153,0.278,1.02,0.543,0.23,0.556,1.8,0.326,7.74,0.1
0.15,0.27,0.992,0.535,0.226,0.534,1.72,0.305,7.64,0.095
0.15,0.265,0.973,0.519,0.225,0.499,1.7,0.283,7.48,0.09
0.164,0.263,1.02,0.497,0.23,0.567,1.78,0.274,7.72,0.105
0.226,0.272,1.24,0.566,0.233,0.603,1.89,0.274,7.79,0.109
0.193,0.262,1.06,0.524,0.227,0.534,2.08,0.273,7.83,0.09
0.443,0.268,1.72,0.642,0.237,1.07,1.89,0.273,7.82,0.134
0.207,0.262,1.01,0.569,0.225,0.565,1.97,0.27,7.87,0.092
0.176,0.25,0.887,0.512,0.225,0.507,1.88,0.269,7.7,0.089
0.172,0.287,0.962,0.532,0.233,1.35,1.81,0.269,7.88,0.34
0.158,0.273,1,0.344,0.223,0.595,1.82,0.269,7.98,0.12
0.16,0.242,0.97,0.269,0.217,0.552,1.66,0.268,7.75,0.1
0.228,0.208,1.14,0.257,0.216,0.548,1.56,0.216,7.33,0.097
0.171,0.209,1.06,0.23,0.214,0.535,1.51,0.197,7.12,0.107
0.275,0.437,1.28,0.234,0.214,0.526,1.54,0.183,7.06,0.103
0.238,0.329,1.01,0.283,0.224,0.559,1.81,0.212,8.38,0.162
0.345,0.281,1.35,0.463,0.236,0.802,1.85,0.364,8.68,0.214
0.242,0.239,1.1,0.322,0.223,0.551,1.97,0.247,8.44,0.106
0.178,0.324,1.02,0.291,0.22,0.535,2.01,0.226,9.96,0.093
0.167,1.21,0.977,1.09,0.216,0.535,1.81,0.213,9.07,0.089
0.165,0.388,0.947,0.451,0.211,0.556,1.63,0.198,8.06,0.084
0.317,0.282,0.944,0.312,0.215,1.65,1.56,0.196,8.45,0.085
0.202,0.243,0.944,0.282,0.219,0.626,1.55,0.199,8.71,0.087
0.18,0.212,1.05,0.251,0.206,0.581,1.49,0.197,7.97,0.077
0.163,0.2,0.997,0.24,0.201,0.52,1.43,0.193,7.48,0.075
0.157,0.195,0.983,0.242,0.194,0.507,1.39,0.192,7.24,0.075
0.173,0.196,0.971,0.228,0.194,0.499,1.33,0.192,7.03,0.077
0.146,0.196,0.972,0.232,0.195,0.493,1.29,0.189,6.81,0.082
0.143,0.186,0.989,0.221,0.189,0.501,1.26,0.185,6.7,0.073
0.143,0.178,0.96,0.229,0.187,0.497,1.26,0.182,6.66,0.075
0.14,0.168,0.962,0.225,0.182,0.493,1.22,0.18,6.58,0.073
0.141,0.16,0.962,0.214,0.181,0.501,1.18,0.177,6.54,0.07
0.14,0.151,0.97,0.209,0.18,0.504,1.18,0.177,6.66,0.07
0.144,0.147,0.981,0.205,0.18,0.5,1.19,0.173,6.56,0.07
0.145,0.142,0.991,0.2,0.179,0.503,1.2,0.169,6.48,0.07
0.142,0.133,0.989,0.2,0.177,0.503,1.13,0.167,6.32,0.077
0.302,0.129,1.67,0.205,0.171,1.5,1.36,0.163,6.4,0.068
0.243,0.129,1.38,0.204,0.17,0.784,1.32,0.161,7.21,0.117
0.167,0.128,1.04,0.204,0.172,0.552,1.21,0.158,6.85,0.072
0.196,0.127,1.28,0.203,0.171,1.96,1.17,0.156,6.7,0.074
0.274,0.124,1.59,0.204,0.173,0.927,1.33,0.155,7.54,0.072
0.181,0.121,1.16,0.191,0.171,0.585,1.32,0.152,7.82,0.064
0.169,0.114,1.18,0.188,0.167,0.547,1.13,0.148,7.44,0.065
0.158,0.114,1.19,0.19,0.163,0.533,1.1,0.132,8.86,0.065
0.163,0.107,1.25,0.184,0.169,0.535,1.09,0.13,8.37,0.063
0.194,0.109,1.48,0.189,0.168,0.532,1.05,0.133,9.09,0.068
0.159,0.11,1.22,0.196,0.165,0.543,1.03,0.138,9.23,0.067
0.154,0.105,1.23,0.184,0.167,0.557,1.05,0.127,9.06,0.064
0.153,0.105,1.25,0.176,0.161,0.532,1.64,0.123,16.4,0.062
0.145,0.144,1.29,0.172,0.161,0.543,1.94,0.124,25.4,0.077
0.153,0.296,1.33,0.179,0.163,0.533,1.5,0.129,19.6,0.211
0.197,0.234,1.5,0.17,0.168,0.68,1.38,0.151,16.8,0.079
0.256,0.173,1.39,0.198,0.201,2.44,4.06,0.161,17.5,0.089
0.242,0.17,1.62,0.273,0.187,1.32,7.39,0.201,23.4,0.114
0.214,0.134,1.5,0.269,0.18,0.647,4.18,0.198,37,0.089
0.293,0.121,1.66,0.211,0.172,1.44,3.1,0.153,31,0.068
0.298,0.113,2.02,0.191,0.167,0.916,2.26,0.143,27.4,0.065
0.856,0.108,1.72,0.191,0.165,3.36,2.11,0.139,85.4,0.066
1.02,0.104,2.67,0.186,0.163,17,2.9,0.135,82.8,0.068
0.546,0.124,2.71,0.182,0.166,8.53,7.89,0.131,91.1,0.066
0.261,0.107,1.44,0.192,0.167,3.42,3.97,0.206,44.4,0.11
0.182,0.086,1.1,0.193,0.164,1.74,2.64,0.154,33.1,0.071
0.159,0.097,1.05,0.179,0.159,1.19,2.08,0.141,26.8,0.067
0.156,0.097,1.03,0.172,0.158,0.973,1.78,0.137,23.1,0.064
0.167,0.1,1.05,0.187,0.159,1.65,1.63,0.133,20.4,0.063
0.167,0.099,1.05,0.183,0.159,1.1,1.52,0.134,18.3,0.064
0.158,0.097,1.07,0.179,0.154,1.03,1.42,0.129,16.1,0.059
0.144,0.092,0.968,0.178,0.155,0.788,1.38,0.125,14.4,0.06
0.387,0.101,1.53,0.198,0.158,2.48,1.33,0.126,12.9,0.061
0.241,0.124,1.23,0.176,0.157,1.3,1.29,0.131,12.4,0.107
0.19,0.118,1.08,0.169,0.153,0.923,1.27,0.127,11.4,0.065
0.151,0.113,1.01,0.186,0.151,0.792,1.27,0.125,10.7,0.061
0.836,0.101,2.33,0.181,0.155,2.46,1.27,0.125,10.6,0.06
0.826,0.113,2.78,0.394,0.177,3.18,1.25,0.142,9.91,0.1
0.241,0.098,1.25,0.252,0.159,1.41,1.21,0.128,9.51,0.066
0.189,0.097,1.19,0.193,0.153,1.03,1.19,0.134,9.36,0.078
0.179,0.102,1.25,0.234,0.165,0.874,1.26,0.142,13.3,0.334
0.167,0.103,1.05,0.207,0.155,0.756,1.27,0.13,16.1,0.078
0.234,0.096,1.19,0.204,0.149,1.05,1.2,0.127,12.1,0.083
0.161,0.125,1.07,0.6,0.176,0.756,1.18,0.153,11,0.715
0.22,0.123,1.13,0.272,0.164,0.809,1.42,0.15,12.2,0.114
0.413,0.106,2.61,0.223,0.156,1.77,1.45,0.134,12.9,0.083
0.364,0.102,1.86,0.32,0.161,1.13,2.71,0.138,15,0.526
0.331,0.102,1.51,0.37,0.217,0.792,4.01,0.156,26.6,0.163
0.207,0.098,1.15,0.272,0.178,0.727,2.89,0.141,16.3,0.087
0.202,0.095,1.35,0.227,0.168,1.21,2.09,0.128,12.8,0.076
0.221,0.095,1.32,0.221,0.164,1.26,1.85,0.132,12,0.318
0.25,0.094,1.33,0.217,0.164,0.818,1.7,0.143,11.6,0.119
0.564,0.093,1.75,0.205,0.156,1.43,1.58,0.14,10.8,0.08
2.29,0.09,2.04,0.2,0.158,2,1.79,0.142,42,0.077
0.475,0.09,1.47,0.197,0.157,0.908,2.91,0.151,38.5,0.07
0.254,0.181,1.32,0.437,0.186,0.817,2.24,0.681,21.8,1.21
0.689,0.193,2.47,1.27,0.226,2.11,3.04,0.723,20.4,0.584
1.85,0.122,4.45,0.38,0.174,1.25,3.88,0.206,26,0.129
0.472,0.795,1.53,2.18,0.239,0.905,3.1,1.4,20.4,1.59
0.302,0.645,1.3,1.62,0.238,0.79,2.33,0.521,16.7,0.848
0.227,0.352,1.13,0.836,0.218,0.712,2.02,0.247,14.4,0.386
0.363,0.203,1.66,0.476,0.187,0.722,1.8,0.187,12.9,0.17
0.558,0.152,2.44,0.337,0.183,0.724,1.61,0.165,12.6,0.267
0.265,0.132,1.17,0.311,0.177,0.645,1.48,0.151,11.5,0.11
0.224,0.118,1.26,0.26,0.173,0.634,1.39,0.145,10.5,0.098
0.195,0.106,1.09,0.247,0.171,0.641,1.32,0.139,9.81,0.09
0.182,0.103,1.04,0.234,0.164,0.619,1.29,0.137,9.44,0.083
0.174,0.101,1.02,0.21,0.161,0.618,1.25,0.136,9.14,0.077
0.173,0.098,1.02,0.22,0.161,0.606,1.21,0.136,8.95,0.077
0.162,0.094,1.05,0.219,0.159,0.615,1.18,0.14,8.87,0.075
0.428,0.125,2.46,0.44,0.181,2.63,1.15,0.173,8.51,0.546
0.353,0.158,2.26,0.836,0.206,1.18,3.88,0.174,12.2,0.154
0.206,0.146,1.37,0.414,0.181,0.784,6.56,0.166,14.8,0.171
0.249,0.197,1.69,0.303,0.171,0.802,3.08,0.154,13,0.098
0.591,0.187,3.44,0.279,0.165,1.41,2.3,0.145,13,0.087
1.01,0.145,4.34,0.269,0.165,2.52,3.31,0.147,49.9,0.083
0.532,0.132,1.9,0.256,0.157,0.952,3.3,0.137,27.8,0.075
1.33,0.12,5.24,0.247,0.154,3.87,2.26,0.137,30,0.074
4.32,0.122,7.73,0.273,0.155,4.75,2.05,0.146,54.8,0.163
1.64,0.122,3.28,0.269,0.152,2.46,1.9,0.144,40.5,0.084
0.856,0.128,1.94,0.236,0.148,1.61,1.79,0.135,30.3,0.126
0.5,0.117,1.55,0.223,0.149,1.14,1.63,0.128,24.8,0.075
0.694,0.105,2.22,0.208,0.145,3.54,1.52,0.125,21.6,0.072
3.11,0.1,7.43,0.203,0.144,6.94,1.54,0.126,30.5,0.07
1.27,0.099,3.02,0.212,0.139,3.79,1.67,0.124,46.8,0.07
0.684,0.097,1.88,0.201,0.141,1.92,1.87,0.127,29,0.068
0.647,0.096,2.16,0.201,0.134,4.86,1.72,0.126,23.6,0.067
1.91,0.092,4.87,0.299,0.144,3.86,1.86,0.221,44.5,0.329
0.86,0.099,2.24,0.254,0.136,1.98,11.7,0.157,43.6,0.093
0.503,0.105,1.54,0.223,0.132,1.42,6.15,0.14,29,0.072
0.4,0.168,1.37,0.213,0.134,1.2,3.65,0.136,24.3,0.185
0.376,0.205,1.32,0.218,0.133,1.07,2.9,0.137,21.7,0.1
0.326,0.137,1.28,0.215,0.138,1.27,2.86,0.141,20,0.084
0.576,0.174,2.37,0.607,0.163,2.17,11.7,0.231,30.1,0.95
0.374,0.236,1.41,0.563,0.151,1.6,11.3,0.219,32,0.2
2.57,0.647,6.84,2.19,0.214,1.82,19.4,3.13,48.2,0.973
0.841,0.639,2.32,3.33,0.248,1.7,16.3,1.63,46,1.47
7.98,0.651,13.2,4.49,0.264,6.36,15.4,2.38,51.8,0.629
1.24,0.802,2.82,1.79,0.229,2.53,10.6,0.493,43.7,0.334
0.739,0.611,2.09,1.19,0.214,2.45,6.83,0.338,34.8,0.495
0.896,0.979,2.22,3.63,0.235,2.69,9.38,0.333,55.9,0.47
0.559,0.478,1.51,1.38,0.204,1.56,7.31,0.249,44.2,0.184
0.424,0.319,1.38,0.754,0.196,1.26,5.38,0.221,32.9,0.139
0.369,0.263,1.29,0.513,0.179,1.09,5.33,0.21,28.3,0.122
0.328,0.225,1.24,0.418,0.178,0.954,4.85,0.194,25.1,0.109
0.286,0.19,1.2,0.35,0.171,0.924,4.03,0.175,22.5,0.098
0.271,0.172,1.19,0.321,0.168,0.871,3.52,0.168,20.5,0.093
0.269,0.163,1.15,0.305,0.162,0.84,3.19,0.169,18.9,0.09
0.248,0.159,1.17,0.287,0.159,0.762,2.95,0.169,17.5,0.091
0.282,0.16,1.33,0.287,0.164,0.745,2.84,0.169,16.4,0.137
0.236,0.154,1.11,0.27,0.161,0.709,2.96,0.166,15.4,0.096
0.248,0.155,1.33,0.261,0.16,0.729,2.69,0.166,14.4,0.086
0.304,0.156,1.42,0.266,0.162,0.823,2.56,0.164,14.1,0.116
0.935,0.193,2.79,0.34,0.163,1.14,2.71,0.166,14.3,0.568
0.364,0.187,1.31,0.304,0.154,0.747,2.65,0.169,13.6,0.134
0.398,0.152,1.54,0.278,0.155,1.41,4.23,0.166,13.8,0.104
0.453,0.152,1.87,0.274,0.155,1.51,6,0.168,16,0.495
0.721,0.169,2.27,0.887,0.175,1.68,17.1,0.305,72.5,0.396
0.386,0.158,1.4,0.527,0.158,0.891,14.3,0.307,29.5,0.16
0.319,0.143,1.33,0.396,0.157,0.819,7.16,0.243,22.4,0.122
1.07,0.189,3.17,0.532,0.176,1.3,8.27,0.226,25.4,0.515
0.596,0.212,1.81,0.756,0.165,1.07,7.98,0.239,45.4,0.203
0.474,0.177,1.54,0.623,0.161,0.982,6.66,0.249,51.2,0.14
0.388,0.175,1.38,0.679,0.174,0.911,6.87,0.258,56.8,0.153
0.327,0.23,1.27,1.29,0.155,0.797,5.7,0.263,55.3,0.117
0.289,0.186,1.21,1.07,0.173,0.936,4.68,0.264,48.1,0.131
0.301,0.159,1.5,0.8,0.163,1.14,4.12,0.264,42.6,0.106
5.38,0.153,9.76,0.605,0.158,3.98,4.73,0.264,165,0.098
1.89,0.146,4.02,0.507,0.157,2.64,9.92,0.257,119,0.092
4.54,0.138,9.2,0.434,0.151,2.28,40,0.232,265,0.087
2.07,0.158,4.05,0.455,0.157,2.01,19.1,0.225,181,0.436
1.06,0.212,2.41,0.587,0.175,2.25,10.7,0.227,89.5,0.192
0.741,0.228,1.9,0.515,0.166,2.29,9.29,0.235,66.6,0.139
1,2.2,2.49,5.97,0.188,7.58,15.3,1.84,85.5,0.438
1.09,2.15,2.34,12.1,0.188,3.17,33.3,4.56,120,0.743
0.748,0.863,1.94,3.37,0.176,2.13,16.2,1.09,72.6,0.236
1.83,1.12,5.21,3.82,0.208,2.47,23.4,4.19,157,0.448
0.861,0.912,2.62,3.51,0.211,1.74,32.1,2.96,128,0.277
0.769,0.777,2.95,4.06,0.195,1.6,14.5,2.27,76.5,0.196
0.628,3.69,2.01,2.57,0.2,1.68,17.5,1.44,67.7,0.506
0.531,2.66,1.89,1.99,0.193,1.62,17.7,0.845,54.6,0.249
0.487,0.996,1.47,1.36,0.188,1.42,11.4,0.563,49.9,0.177
0.444,0.721,1.67,1.25,0.195,2.17,9.71,2.11,46.3,0.181
0.497,0.691,1.86,2.51,0.195,1.89,9.67,4.2,45.5,0.219
0.476,0.596,1.48,2.56,0.186,1.47,12.7,1.67,46.1,0.161
0.405,0.517,1.33,1.54,0.187,1.24,22.6,1.04,41.3,0.143
0.362,0.463,1.28,1.21,0.184,1.15,27.1,0.678,39.2,0.133
0.357,0.424,1.35,1.02,0.182,1.04,53,0.543,40.9,0.124
0.339,0.456,1.25,0.874,0.178,0.972,44.6,0.459,39.9,0.115
0.314,0.403,1.2,0.79,0.178,0.923,39,0.406,32.6,0.11
0.292,0.367,1.18,0.698,0.176,0.91,22.4,0.371,28.9,0.104
0.275,0.337,1.17,0.622,0.175,0.914,16.6,0.347,26.2,0.103
0.259,0.316,1.13,0.576,0.173,0.8,14.5,0.337,24.3,0.107
0.243,0.294,1.09,0.531,0.172,0.79,13.4,0.317,22.5,0.1
0.251,0.326,1.1,0.495,0.17,0.759,12.9,0.287,21.3,0.104
0.283,0.376,1.2,0.524,0.173,0.771,12.5,0.283,20.3,0.328
0.27,0.371,1.15,0.59,0.164,0.741,12.5,0.28,19.5,0.186
0.237,0.393,1.19,0.652,0.163,0.725,12,0.283,18.8,0.19
0.259,0.444,1.11,0.78,0.161,0.721,11.3,0.534,18.1,0.191
0.35,6.2,1.56,9.1,0.167,1.28,10.9,2.6,18,0.928
0.322,7.07,1.29,9.4,0.161,0.82,10.1,1.12,17.2,0.739
0.256,3.8,1.16,3.69,0.16,0.737,9.58,0.603,16.1,0.365
0.261,2.63,1.14,2.17,0.155,0.717,8.42,0.474,16,0.235
0.208,1.52,1.09,1.5,0.155,0.681,7.8,0.398,12.6,0.184
0.335,0.772,1.48,1.16,0.153,0.904,8.67,0.34,15.5,0.164
1.19,0.675,1.98,1.04,0.152,0.856,71.3,0.34,43.3,0.192
0.688,0.641,1.58,1.7,0.154,0.918,92.5,0.352,69.1,0.239
0.442,0.581,1.38,1.54,0.151,0.841,36.7,0.34,35.3,0.187
0.375,0.531,1.34,1.11,0.152,0.798,23.8,0.317,26.6,0.156
0.332,0.489,1.31,0.953,0.148,0.751,43.5,0.303,23.4,0.144
0.316,0.47,1.29,0.879,0.148,0.754,46,0.296,23.1,0.154
0.564,0.825,2.05,1.24,0.158,1.21,49.5,0.32,33.9,0.405
0.38,0.891,1.41,1.64,0.151,0.934,21,0.317,26.1,0.217
0.313,0.682,1.29,1.21,0.167,0.929,12.9,0.306,20.8,0.184
0.292,0.579,1.18,0.979,0.156,0.809,10.6,0.286,17,0.165
0.249,0.514,1.12,0.862,0.157,0.728,8.99,0.387,15.7,0.162
0.276,0.625,1.12,0.921,0.157,0.742,8,0.568,11.8,0.369
0.258,0.798,1.11,1.19,0.161,0.736,7.62,0.555,15.8,0.396
0.27,1.77,1.08,1.26,0.158,0.685,7.11,0.466,15.3,0.24
0.299,1.96,1.09,1.03,0.153,0.703,6.55,0.383,11.8,0.191
0.398,1.12,1.05,0.806,0.151,0.645,6.43,0.332,13.6,0.162
0.483,0.82,1.07,0.715,0.15,0.661,6.36,0.297,16.1,0.15
0.645,0.754,2.59,0.78,0.164,2.72,6.5,0.411,16,0.44
1.04,1.55,2.93,2.98,0.208,3.71,10.7,1.44,36.6,0.852
0.888,1.83,2.34,3.23,0.207,3.03,13.8,0.911,47.1,0.651
0.621,1.2,1.83,2.24,0.194,2.13,29.4,0.645,35.6,0.394
0.499,0.93,1.6,1.58,0.181,1.69,43.1,0.515,30.3,0.284
0.437,0.814,1.47,1.28,0.176,1.64,42.3,0.444,30.6,0.235
0.372,0.728,1.35,1.14,0.168,1.37,18,0.404,24.4,0.203
0.34,0.672,1.31,1.03,0.168,1.23,12.3,0.38,20.9,0.185
0.696,0.678,2.34,1.06,0.162,1.51,16.6,0.379,22.8,0.177
2.69,0.755,4.64,1.23,0.165,2.11,29.8,0.412,53.8,0.185
0.86,5.29,2.03,11.9,0.219,1.46,14.5,3.25,41.9,1.8
0.827,5.01,3.05,11.9,0.271,2.73,11.4,5.37,29.9,3.14
1.27,3.55,3.61,12.3,0.3,2.98,13,4.04,44.5,1.3
0.728,1.85,1.97,4.32,0.248,1.78,9.7,1.59,43,0.552
0.878,1.52,2.8,5.47,0.242,1.59,32.3,3.24,105,0.871
1.12,4.95,3.21,24.8,0.261,1.88,65.3,7.38,134,1.4
2.44,4.45,5.43,8.68,0.303,3.08,28.5,4.11,76.1,1.9
1.62,3.06,3.77,5.41,0.282,2.35,49.6,3.73,99,1.22
0.965,4.04,2.37,9.32,0.328,1.84,40.3,3.8,89.7,1.76
1.84,2.81,5.28,5.64,0.299,1.72,48.4,2.48,350,0.786
2.1,1.83,5.7,3.48,0.288,2.03,49.9,1.67,337,0.62
1.03,6.08,2.54,28,0.422,1.48,21.7,9.8,128,5.63
0.712,6.21,2.02,22.5,0.455,1.22,14.4,6.11,87.2,2.71
0.584,3.35,1.94,5.46,0.398,1.11,11.5,3.12,66.7,0.858
0.501,2.54,1.58,3.54,0.343,1,9.61,1.86,53,0.56
0.435,1.7,1.47,2.7,0.315,0.955,8.19,1.18,43.6,0.436
0.4,1.29,1.39,2.18,0.299,0.914,7.8,0.938,37.1,0.369
0.38,1.31,1.36,1.85,0.286,0.913,7.5,0.841,33,0.327
0.358,1.41,1.33,1.64,0.279,0.894,7.05,0.776,30.1,0.3
0.439,1.3,1.56,1.58,0.274,1.33,6.88,0.768,30,0.296
0.398,1.34,1.33,1.65,0.268,1.01,8.4,0.744,30.1,0.276
0.345,1.19,1.14,1.44,0.255,0.897,11,0.641,27.6,0.238
0.314,1.02,1.38,1.23,0.251,0.845,8.04,0.584,23.6,0.214
0.283,0.919,1.24,1.1,0.249,0.787,6.74,0.555,21.1,0.202
0.28,0.842,1.2,0.997,0.254,0.793,6.47,0.532,19.9,0.189
0.287,0.782,1.29,0.923,0.25,0.854,6.03,0.504,19.2,0.182
0.38,0.747,1.6,0.881,0.249,0.964,5.87,0.512,21.6,0.179
0.399,0.74,1.54,0.861,0.239,0.953,5.9,0.515,42.1,0.174
2.5,0.731,4.89,0.851,0.23,0.95,8.57,0.511,93.4,0.168
2.93,0.72,5.67,0.824,0.228,1.1,28.8,0.499,258,0.164
11.6,0.697,15.5,0.801,0.22,10.7,34.9,0.491,293,0.162
3.28,0.679,6.99,0.787,0.219,6.67,35.1,0.49,255,0.157
1.66,0.656,3.46,0.769,0.215,3.13,54.8,0.475,320,0.149
1.08,0.61,2.63,0.706,0.211,2.22,26.7,0.448,141,0.143
1.22,0.603,2.98,0.683,0.209,1.96,21.3,0.452,134,0.143
0.881,1.5,2.23,2.55,0.257,1.77,16.6,0.963,115,0.743
1.08,1.79,3.28,3.49,0.24,2.36,13.2,0.854,82.2,0.371
1.27,1.39,3.05,2.94,0.236,2.05,30.3,0.737,89.8,0.355
2.77,1.19,6.96,5.31,0.242,2.73,17.7,5.17,98.3,0.319
1.41,1.12,3.2,5.97,0.239,2.07,21,3.8,101,0.268
1.07,1.07,2.97,4.4,0.242,1.82,14.2,4.17,74.6,0.267
0.887,1.04,2.36,3.92,0.238,1.53,27.5,3.15,85.3,0.226
0.656,0.865,1.91,2.36,0.235,1.32,15,1.59,61.1,0.194
0.593,0.774,1.87,1.77,0.237,1.71,11.6,1.08,49.6,0.322
0.93,2.36,2.85,2.45,0.325,2.01,16.3,3.29,45.6,1.46
0.622,1.88,1.81,2.18,0.284,1.41,13.8,1.62,42.4,0.541
0.587,1.28,1.95,1.74,0.277,1.77,11.6,1.2,38.6,0.379
0.549,1.02,1.79,1.49,0.269,1.72,10,1.15,36.3,0.305
0.916,2.11,2.85,2.84,0.291,2.24,16.6,3.01,44.9,1.07
0.617,2.14,1.85,2.71,0.276,1.54,11.7,1.85,38.5,0.569
1.21,1.41,3.65,1.94,0.275,2.33,9.59,1.56,36.1,0.537
1.61,2.71,3.56,2.98,0.293,3.22,8.75,3.46,60.4,0.873
0.959,2.26,2.48,2.73,0.29,2.25,7.83,2.72,43.4,0.479
0.671,1.51,1.83,2.26,0.287,1.55,7.42,1.78,34.8,0.356
0.577,1.41,1.65,1.79,0.274,1.29,6.94,1.05,30.3,0.289
0.48,1.18,1.54,1.49,0.271,1.16,6.31,0.839,27.3,0.25
0.434,1,1.47,1.31,0.264,1.06,5.9,0.738,24.9,0.22
0.398,0.876,1.46,1.17,0.261,1.03,5.69,0.675,23.2,0.2
0.375,0.809,1.37,1.07,0.257,0.945,5.41,0.637,21.8,0.184
0.349,0.746,1.33,0.97,0.254,0.901,5.06,0.592,20.5,0.172
0.328,0.703,1.33,0.901,0.249,0.876,4.67,0.556,19.3,0.165
0.328,0.681,1.35,0.867,0.247,0.92,4.52,0.543,18.6,0.16
0.363,0.656,1.37,0.831,0.243,1.52,4.47,0.538,20.5,0.154
0.341,0.636,1.51,0.782,0.241,1.44,5.41,0.516,56.4,0.145
0.309,0.606,1.42,0.742,0.235,1.98,6.01,0.494,58.7,0.139
0.328,0.618,1.45,0.765,0.236,2.36,14.3,0.502,101,0.141
0.477,0.619,1.94,0.836,0.23,2.19,19.6,0.521,57.7,0.165
0.308,0.578,1.33,0.727,0.228,1.44,9.93,0.486,41.2,0.127
0.285,0.567,1.3,0.675,0.225,1.36,7.7,0.463,35.4,0.124
0.269,0.557,1.25,0.651,0.222,1.34,7.97,0.452,32.8,0.125
0.293,0.532,1.23,0.617,0.219,1.26,6.99,0.441,29.7,0.121
0.269,0.65,1.2,0.759,0.232,1.16,5.98,0.588,26.6,0.361
0.256,0.593,1.2,0.701,0.221,1.13,5.24,0.586,24.1,0.14
0.268,0.551,1.28,0.61,0.221,1.13,4.87,0.523,22.6,0.125
0.252,0.526,1.19,0.576,0.22,1.09,4.61,0.483,21.3,0.122
0.245,0.469,1.18,0.524,0.216,1.04,4.28,0.456,19.8,0.12
0.239,0.457,1.18,0.474,0.216,1.02,4.07,0.431,18.5,0.117
0.237,0.454,1.17,0.484,0.22,1.05,3.91,0.421,17.6,0.117
0.24,0.451,1.19,0.534,0.219,1.07,3.78,0.421,16.9,0.12
0.233,0.447,1.16,0.527,0.221,1.02,3.71,0.42,16.1,0.12
0.231,0.434,1.16,0.523,0.216,1.03,3.61,0.42,15.4,0.115
